재무제표종류	종목코드	회사명	시장구분	업종	업종명	결산월	결산기준일	보고서종류	통화	항목코드	항목명		당기			전기	전전기	
단일 포괄손익계산서, 기능별 분류, 세후 - 연결	[006840]	AK홀딩스	유가증권시장상장법인	649	기타 금융업	12	2024-12-31	사업보고서	KRW	ifrs-full_ComprehensiveIncomeAttributableToNoncontrollingInterests	         비지배지분		9,846,948,373			80,404,831,141	-48,473,497,074
단일 포괄손익계산서, 기능별 분류, 세후 - 연결	[006840]	AK홀딩스	유가증권시장상장법인	649	기타 금융업	12	2024-12-31	사업보고서	KRW	ifrs-full_ComprehensiveIncomeAttributableToOwnersOfParent	         지배기업의 소유주 지분		-29,466,706,474			17,081,574,648	-49,694,611,556
단일 포괄손익계산서, 기능별 분류, 세후 - 연결	[006840]	AK홀딩스	유가증권시장상장법인	649	기타 금융업	12	2024-12-31	사업보고서	KRW	ifrs-full_CostOfSales	      매출원가		3,521,879,880,548			3,381,008,245,784	3,077,278,770,459
단일 포괄손익계산서, 기능별 분류, 세후 - 연결	[006840]	AK홀딩스	유가증권시장상장법인	649	기타 금융업	12	2024-12-31	사업보고서	KRW	ifrs-full_BasicEarningsLossPerShare	         기본주당이익(손실)		-2,229			2,635	-4,878
단일 포괄손익계산서, 기능별 분류, 세후 - 연결	[006840]	AK홀딩스	유가증권시장상장법인	649	기타 금융업	12	2024-12-31	사업보고서	KRW	ifrs-full_DilutedEarningsLossPerShare	         희석주당이익(손실)		-2,229			2,635	-4,878
단일 포괄손익계산서, 기능별 분류, 세후 - 연결	[006840]	AK홀딩스	유가증권시장상장법인	649	기타 금융업	12	2024-12-31	사업보고서	KRW	ifrs-full_FinanceCosts	      금융원가		136,579,550,784			134,273,486,456	112,025,110,461
단일 포괄손익계산서, 기능별 분류, 세후 - 연결	[006840]	AK홀딩스	유가증권시장상장법인	649	기타 금융업	12	2024-12-31	사업보고서	KRW	ifrs-full_FinanceIncome	      금융수익		49,312,087,007			46,206,908,878	32,305,511,311
단일 포괄손익계산서, 기능별 분류, 세후 - 연결	[006840]	AK홀딩스	유가증권시장상장법인	649	기타 금융업	12	2024-12-31	사업보고서	KRW	ifrs-full_GrossProfit	      매출총이익		966,400,652,253			1,098,651,895,841	710,681,084,876
단일 포괄손익계산서, 기능별 분류, 세후 - 연결	[006840]	AK홀딩스	유가증권시장상장법인	649	기타 금융업	12	2024-12-31	사업보고서	KRW	ifrs-full_IncomeTaxExpenseContinuingOperations	      법인세비용(수익)		3,907,559,332			-67,700,684,448	-4,675,280,052
단일 포괄손익계산서, 기능별 분류, 세후 - 연결	[006840]	AK홀딩스	유가증권시장상장법인	649	기타 금융업	12	2024-12-31	사업보고서	KRW	ifrs-full_OtherComprehensiveIncome	      기타포괄손익		-3,034,063,222			-32,909,087,182	26,690,351,104
단일 포괄손익계산서, 기능별 분류, 세후 - 연결	[006840]	AK홀딩스	유가증권시장상장법인	649	기타 금융업	12	2024-12-31	사업보고서	KRW	ifrs-full_OtherComprehensiveIncomeThatWillBeReclassifiedToProfitOrLossNetOfTax	         당기손익으로 재분류될 수 있는 항목(세후기타포괄손익)		9,086,029,507			302,265,830	2,170,686,064
단일 포괄손익계산서, 기능별 분류, 세후 - 연결	[006840]	AK홀딩스	유가증권시장상장법인	649	기타 금융업	12	2024-12-31	사업보고서	KRW	ifrs-full_GainsLossesOnCashFlowHedgesNetOfTax	            파생상품평가손익		0			0	73,095,847
단일 포괄손익계산서, 기능별 분류, 세후 - 연결	[006840]	AK홀딩스	유가증권시장상장법인	649	기타 금융업	12	2024-12-31	사업보고서	KRW	ifrs-full_GainsLossesOnExchangeDifferencesOnTranslationNetOfTax	            해외사업장환산외환차이(세후기타포괄손익)		6,562,773,163			849,585,627	2,353,883,647
단일 포괄손익계산서, 기능별 분류, 세후 - 연결	[006840]	AK홀딩스	유가증권시장상장법인	649	기타 금융업	12	2024-12-31	사업보고서	KRW	ifrs-full_ShareOfOtherComprehensiveIncomeOfAssociatesAndJointVenturesAccountedForUsingEquityMethodThatWillBeReclassifiedToProfitOrLossNetOfTax	            지분법 적용대상 관계기업과 공동기업의 기타포괄손익에 대한 지분(세후기타포괄손익)		2,523,256,344			-547,319,797	-256,293,430
단일 포괄손익계산서, 기능별 분류, 세후 - 연결	[006840]	AK홀딩스	유가증권시장상장법인	649	기타 금융업	12	2024-12-31	사업보고서	KRW	ifrs-full_OtherComprehensiveIncomeThatWillNotBeReclassifiedToProfitOrLossNetOfTax	         당기손익으로 재분류되지 않는항목(세후기타포괄손익)		-12,120,092,729			-33,211,353,012	24,519,665,040
